tn,total_maq,estfilho,pronome.1,quantity_usage,percentage_usage
60,53,360601000058,MODULO INTERMEDIARIO PENEIRA D 9                  ,23,43.39622641509434
60,53,360601000058,MODULO INTERMEDIARIO PENEIRA D 9                  ,23,43.39622641509434
60,53,360601000059,MODULO EXTREMIDADE PENEIRA D 9                    ,22,41.509433962264154
60,53,360601000059,MODULO EXTREMIDADE PENEIRA D 9                    ,22,41.509433962264154
60,53,360601000059,MODULO EXTREMIDADE PENEIRA D 9                    ,22,41.509433962264154
60,53,360601000059,MODULO EXTREMIDADE PENEIRA D 9                    ,22,41.509433962264154
60,53,360601000059,MODULO EXTREMIDADE PENEIRA D 9                    ,22,41.509433962264154
60,53,360601000059,MODULO EXTREMIDADE PENEIRA D 9                    ,22,41.509433962264154
60,53,360601000059,MODULO EXTREMIDADE PENEIRA D 9                    ,22,41.509433962264154
60,53,360601000059,MODULO EXTREMIDADE PENEIRA D 9                    ,22,41.509433962264154
60,53,360601000059,MODULO EXTREMIDADE PENEIRA D 9                    ,22,41.509433962264154
60,53,360601000059,MODULO EXTREMIDADE PENEIRA D 9                    ,22,41.509433962264154
60,53,360601000059,MODULO EXTREMIDADE PENEIRA D 9                    ,22,41.509433962264154
60,53,360601000059,MODULO EXTREMIDADE PENEIRA D 9                    ,22,41.509433962264154
60,53,360601000059,MODULO EXTREMIDADE PENEIRA D 9                    ,22,41.509433962264154
60,53,360601000059,MODULO EXTREMIDADE PENEIRA D 9                    ,22,41.509433962264154
60,53,360601000059,MODULO EXTREMIDADE PENEIRA D 9                    ,22,41.509433962264154
60,53,360601000059,MODULO EXTREMIDADE PENEIRA D 9                    ,22,41.509433962264154
60,53,360601000059,MODULO EXTREMIDADE PENEIRA D 9                    ,22,41.509433962264154
60,53,360601000059,MODULO EXTREMIDADE PENEIRA D 9                    ,22,41.509433962264154
60,53,360601000059,MODULO EXTREMIDADE PENEIRA D 9                    ,22,41.509433962264154
60,53,360601000059,MODULO EXTREMIDADE PENEIRA D 9                    ,22,41.509433962264154
60,53,360601000059,MODULO EXTREMIDADE PENEIRA D 9                    ,22,41.509433962264154
60,53,360601000059,MODULO EXTREMIDADE PENEIRA D 9                    ,22,41.509433962264154
60,53,360601000060,MODULO EXTREMIDADE PENEIRA PARCIAL D 9            ,23,43.39622641509434
60,53,360601000060,MODULO EXTREMIDADE PENEIRA PARCIAL D 9            ,23,43.39622641509434
60,53,360601000060,MODULO EXTREMIDADE PENEIRA PARCIAL D 9            ,23,43.39622641509434
60,53,360601000060,MODULO EXTREMIDADE PENEIRA PARCIAL D 9            ,23,43.39622641509434
60,53,360601000060,MODULO EXTREMIDADE PENEIRA PARCIAL D 9            ,23,43.39622641509434
60,53,360601000060,MODULO EXTREMIDADE PENEIRA PARCIAL D 9            ,23,43.39622641509434
60,53,360601000060,MODULO EXTREMIDADE PENEIRA PARCIAL D 9            ,23,43.39622641509434
60,53,360601000060,MODULO EXTREMIDADE PENEIRA PARCIAL D 9            ,23,43.39622641509434
60,53,360601000060,MODULO EXTREMIDADE PENEIRA PARCIAL D 9            ,23,43.39622641509434
